순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10236,포천시,포천상운,31898,236000198,대경중학교앞,236000470,너베기입구,236001214,N,20240306
10237,포천시,포천상운,89,236000202,포천고등학교앞,236000737,관인파출소앞,236000120,N,20240306
10238,포천시,포천상운,31868,236000204,영화마을,236000463,기지리,236000839,N,20240306
10239,포천시,선진시내버스,11,236000207,포천행복주택.용정산업단지입구,236001076,운담사거리,236000541,Y,20240306
10240,포천시,포천상운,86,236000208,태봉초교,236001086,이동교5리.축석검문소,236000581,N,20240306
10241,포천시,포천상운,26665,236000210,포천고등학교앞,236000737,포천고등학교앞,236000294,N,20240306
10242,포천시,선진시내버스,45231,236000211,포천행복주택.용정산업단지입구,236001076,운담사거리,236000541,N,20240306
10243,포천시,선진시내버스,45200,236000213,산정호수상동주차장,236001143,영북농협앞,236000141,N,20240306
10244,포천시,선진시내버스,45201,236000214,선단4통.장승거리,236000520,산정호수.상동주차장,236001170,N,20240306
10245,포천시,포천상운,21947,236000215,포천고등학교앞,236000737,냉정리회관앞,236000930,N,20240306
10246,포천시,포천상운,26696,236000216,포천고등학교앞,236000737,기지리,236000839,N,20240306
10247,포천시,포천교통,77,236000217,경복대입구,236001099,포천고등학교앞,236000294,Y,20240306
10248,포천시,포천교통,44986,236000218,일동초교.일동도서관,236000552,장암5리.한빛아파트,236000150,N,20240306
10249,포천시,선진시내버스,45170,236000219,청소년교육문화센터,236001216,금현3리.대대울,236000475,N,20240306
10250,포천시,포천교통,3006,236000222,경복대입구,236001099,잠실광역환승센터,123000611,Y,20240306
10251,포천시,포천상운,26724,236000223,포천고등학교앞,236000737,포천고등학교앞,236000294,N,20240306
10252,포천시,선진시내버스,12,236000224,도평리,236000784,포천아이파크2차,236000178,N,20240306
10253,포천시,포천상운,69,236000225,선단동체육센터,236001384,정미소.동교1통회관,236001046,N,20240306
10254,포천시,선진시내버스,45171,236000226,청소년교육문화센터,236001216,너베기입구,236001033,N,20240306
10255,포천시,포천상운,20455,236000227,영화마을,236000463,전곡역,238000325,N,20240306
10256,포천시,포천교통,28126,236000228,경복대입구,236001099,포천행복주택.용정산업단지입구,236001104,N,20240306
10257,포천시,포천교통,44927,236000229,선단4통.장승거리,236000520,축석가든,236000704,N,20240306
10258,포천시,포천상운,85,236000230,선단4통.장승거리,236000520,금주2리회관,236000783,N,20240306
10259,포천시,포천상운,31048,236000231,선단4통.장승거리,236000520,양문1리터미널,236000555,N,20240306
10260,포천시,포천교통,32143,236000232,경복대입구,236001099,홈플러스,236000509,Y,20240306
10261,포천시,포천상운,65,236000233,포천고등학교앞,236000294,어룡2통마을회관,236001259,N,20240306
10262,포천시,포천교통,1403,236000234,경복대입구,236001099,고속터미널(중),121000020,N,20240306
